Team Name,Member Name,Email,Game,Role,Skill,Personality
Team 6,Participant_100,user100@university.edu,CS:GO,Coordinator,7,Leader
Team 6,Participant_50,user50@university.edu,Basketball,Coordinator,5,Balanced
Team 6,sethu,sethu@g.com,Basketball,Supporter,5,Reserved
Team 6,Participant_1,user1@university.edu,Chess,Strategist,2,Leader
Team 6,swetha,swetha@gmail.com,Chess,Supporter,2,Reserved
Team 7,Participant_85,user85@university.edu,Basketball,Coordinator,10,Leader
Team 7,Participant_75,user75@university.edu,Valorant,Coordinator,8,Thinker
Team 7,ken,ken@g.com,Basketball,Supporter,7,Reserved
Team 7,Participant_46,user46@university.edu,CS:GO,Strategist,5,Leader
Team 7,Participant_3,user3@university.edu,FIFA,Defender,4,Balanced
Team 7,Participant_99,user99@university.edu,Valorant,Supporter,3,Balanced
Team 7,swe,swe@gmail.com,FIFA,Attacker,2,Reserved
Team 8,Participant_91,user91@university.edu,FIFA,Strategist,10,Leader
Team 8,Participant_73,user73@university.edu,DOTA 2,Defender,8,Leader
Team 8,dulee,dulee@g.com,Valorant,Coordinator,7,Reserved
Team 8,Participant_41,user41@university.edu,Basketball,Strategist,5,Balanced
Team 8,Participant_4,user4@university.edu,Basketball,Supporter,4,Leader
Team 8,Participant_97,user97@university.edu,FIFA,Attacker,3,Leader
Team 8,Participant_38,user38@university.edu,Valorant,Defender,1,Balanced
Team 9,Participant_5,user5@university.edu,CS:GO,Coordinator,9,Leader
Team 9,Participant_71,user71@university.edu,Chess,Strategist,8,Balanced
Team 9,Participant_9,user9@university.edu,CS:GO,Supporter,6,Balanced
Team 9,Participant_39,user39@university.edu,FIFA,Supporter,5,Balanced
Team 9,Participant_13,user13@university.edu,DOTA 2,Defender,4,Leader
Team 9,Participant_74,user74@university.edu,FIFA,Supporter,3,Leader
Team 9,Participant_66,user66@university.edu,Chess,Strategist,1,Balanced
Team 10,Participant_19,user19@university.edu,FIFA,Supporter,9,Leader
Team 10,Participant_63,user63@university.edu,Chess,Defender,8,Balanced
Team 10,Participant_16,user16@university.edu,CS:GO,Strategist,6,Leader
Team 10,Participant_29,user29@university.edu,Basketball,Supporter,5,Balanced
Team 10,Participant_21,user21@university.edu,FIFA,Strategist,4,Balanced
Team 10,Participant_58,user58@university.edu,Valorant,Defender,3,Leader
Team 10,Participant_67,user67@university.edu,Basketball,Attacker,1,Leader
Team 11,Participant_22,user22@university.edu,Chess,Attacker,9,Leader
Team 11,Participant_55,user55@university.edu,Chess,Coordinator,8,Leader
Team 11,Participant_27,user27@university.edu,Chess,Attacker,6,Thinker
Team 11,Participant_10,user10@university.edu,Valorant,Coordinator,5,Leader
Team 11,Participant_30,user30@university.edu,CS:GO,Coordinator,4,Thinker
Team 11,Participant_49,user49@university.edu,Basketball,Supporter,3,Leader
Team 11,Participant_68,user68@university.edu,Chess,Defender,1,Leader
Team 12,Participant_25,user25@university.edu,FIFA,Coordinator,9,Leader
Team 12,Participant_54,user54@university.edu,Valorant,Supporter,8,Balanced
Team 12,Participant_44,user44@university.edu,FIFA,Supporter,6,Balanced
Team 12,Participant_7,user7@university.edu,DOTA 2,Attacker,5,Leader
Team 12,Participant_56,user56@university.edu,Basketball,Strategist,4,Leader
Team 12,Participant_23,user23@university.edu,CS:GO,Defender,3,Leader
Team 12,Participant_70,user70@university.edu,Basketball,Coordinator,1,Leader
Team 13,Participant_36,user36@university.edu,Chess,Strategist,9,Balanced
Team 13,Participant_37,user37@university.edu,DOTA 2,Attacker,8,Leader
Team 13,Participant_48,user48@university.edu,Valorant,Defender,6,Balanced
Team 13,Participant_2,user2@university.edu,FIFA,Attacker,5,Leader
Team 13,Participant_59,user59@university.edu,DOTA 2,Supporter,4,Balanced
Team 13,Participant_20,user20@university.edu,Valorant,Coordinator,3,Leader
Team 13,Participant_80,user80@university.edu,Basketball,Coordinator,1,Leader
Team 14,Participant_40,user40@university.edu,Chess,Coordinator,9,Leader
Team 14,Participant_35,user35@university.edu,Basketball,Coordinator,8,Balanced
Team 14,Participant_62,user62@university.edu,Basketball,Attacker,6,Leader
Team 14,mahi,mahi@g.com,Basketball,Supporter,6,Reserved
Team 14,Participant_60,user60@university.edu,CS:GO,Coordinator,4,Thinker
Team 14,Participant_18,user18@university.edu,FIFA,Defender,3,Thinker
Team 15,Participant_86,user86@university.edu,FIFA,Strategist,9,Leader
Team 15,Participant_31,user31@university.edu,Basketball,Strategist,8,Leader
Team 15,Participant_64,user64@university.edu,CS:GO,Supporter,6,Leader
Team 15,nuvi,nuvi@g.com,CS:GO,Supporter,6,Reserved
Team 15,Participant_87,user87@university.edu,Basketball,Attacker,4,Thinker
Team 15,Participant_14,user14@university.edu,FIFA,Supporter,3,Balanced
Team 16,kvi,k@f.c,Chess,Strategist,9,Reserved
Team 16,Participant_28,user28@university.edu,CS:GO,Defender,8,Leader
Team 16,Participant_78,user78@university.edu,FIFA,Defender,6,Thinker
Team 16,yen,yen@g.com,Valorant,Defender,6,Reserved
Team 16,Participant_88,user88@university.edu,FIFA,Defender,4,Leader
Team 16,manee,manee@g.com,DOTA 2,Coordinator,4,Reserved
Team 17,jane,jane@g.com,Basketball,Defender,9,Reserved
Team 17,Participant_26,user26@university.edu,Chess,Strategist,8,Balanced
Team 17,Participant_89,user89@university.edu,Chess,Supporter,6,Balanced
Team 17,dewdu,dew@dd.com,DOTA 2,Attacker,6,Reserved
Team 17,Participant_93,user93@university.edu,CS:GO,Defender,4,Thinker
Team 17,kasuni,kasu@g.com,Basketball,Defender,4,Reserved
Team 18,Participant_11,user11@university.edu,Basketball,Strategist,8,Leader
Team 18,Participant_15,user15@university.edu,DOTA 2,Coordinator,8,Balanced
Team 18,swe,swe@gmail.com,Valorant,Defender,6,Reserved
Team 18,lidi,lidi@g.com,Basketball,Coordinator,6,Reserved
Team 18,swetha,dew@gmail.com,Chess,Supporter,4,Reserved
Team 18,swe,swe@gmail.com,Chess,Defender,4,Reserved
